session_id,input_sequence,next_field
SESSION-006E2B73,Customer Information,Identity Verification
SESSION-006E2B73,Customer Information | Identity Verification,Document Verification
SESSION-006E2B73,Customer Information | Identity Verification | Document Verification,Account Information
SESSION-006E2B73,Customer Information | Identity Verification | Document Verification | Account Information,Onboarding Confirmation
SESSION-009A65D0,Customer Information,Service Selection
SESSION-009A65D0,Customer Information | Service Selection,Document Verification
SESSION-009A65D0,Customer Information | Service Selection | Document Verification,Installation
SESSION-009A65D0,Customer Information | Service Selection | Document Verification | Installation,Activation
SESSION-00E534C7,Customer Information,Service Selection
SESSION-00E534C7,Customer Information | Service Selection,Document Verification
SESSION-00E534C7,Customer Information | Service Selection | Document Verification,Installation
SESSION-00E534C7,Customer Information | Service Selection | Document Verification | Installation,Activation
SESSION-01C52659,Customer Information,Identity Verification
SESSION-01C52659,Customer Information | Identity Verification,Document Verification
SESSION-01C52659,Customer Information | Identity Verification | Document Verification,Account Information
SESSION-01C52659,Customer Information | Identity Verification | Document Verification | Account Information,Onboarding Confirmation
SESSION-01E5137D,Customer Information,Identity Verification
SESSION-01E5137D,Customer Information | Identity Verification,Document Verification
SESSION-01E5137D,Customer Information | Identity Verification | Document Verification,Account Information
SESSION-01E5137D,Customer Information | Identity Verification | Document Verification | Account Information,Onboarding Confirmation
SESSION-021DB72B,Customer Information,Identity Verification
SESSION-021DB72B,Customer Information | Identity Verification,Document Verification
SESSION-021DB72B,Customer Information | Identity Verification | Document Verification,Account Information
SESSION-021DB72B,Customer Information | Identity Verification | Document Verification | Account Information,Onboarding Confirmation
SESSION-022234EA,Customer Information,Identity Verification
SESSION-022234EA,Customer Information | Identity Verification,Document Verification
SESSION-022234EA,Customer Information | Identity Verification | Document Verification,Account Information
SESSION-022234EA,Customer Information | Identity Verification | Document Verification | Account Information,Onboarding Confirmation
SESSION-023921B1,Customer Information,Identity Verification
SESSION-023921B1,Customer Information | Identity Verification,Document Verification
SESSION-023921B1,Customer Information | Identity Verification | Document Verification,Account Information
SESSION-023921B1,Customer Information | Identity Verification | Document Verification | Account Information,Onboarding Confirmation
SESSION-02540208,Customer Information,Identity Verification
SESSION-02540208,Customer Information | Identity Verification,Document Verification
SESSION-02540208,Customer Information | Identity Verification | Document Verification,Account Information
SESSION-02540208,Customer Information | Identity Verification | Document Verification | Account Information,Onboarding Confirmation
SESSION-02591E84,Customer Information,Service Selection
SESSION-02591E84,Customer Information | Service Selection,Document Verification
SESSION-02591E84,Customer Information | Service Selection | Document Verification,Installation
SESSION-02591E84,Customer Information | Service Selection | Document Verification | Installation,Activation
SESSION-0298D921,Customer Information,Service Selection
SESSION-0298D921,Customer Information | Service Selection,Document Verification
SESSION-0298D921,Customer Information | Service Selection | Document Verification,Installation
SESSION-0298D921,Customer Information | Service Selection | Document Verification | Installation,Activation
SESSION-02D7A28C,Customer Information,Service Selection
SESSION-02D7A28C,Customer Information | Service Selection,Document Verification
SESSION-02D7A28C,Customer Information | Service Selection | Document Verification,Installation
SESSION-02D7A28C,Customer Information | Service Selection | Document Verification | Installation,Activation
SESSION-03095F25,Customer Information,Service Selection
SESSION-03095F25,Customer Information | Service Selection,Document Verification
SESSION-03095F25,Customer Information | Service Selection | Document Verification,Installation
SESSION-03095F25,Customer Information | Service Selection | Document Verification | Installation,Activation
SESSION-030F309C,Customer Information,Service Selection
SESSION-030F309C,Customer Information | Service Selection,Document Verification
