session_id,customer_id,sales_agent_id,industry,onboarding_scenario,onboarding_field,event_timestamp,event_status,event_duration_minutes,is_revisit,previous_onboarding_field,next_onboarding_field,validation_status,failure_reason,onboarding_progress,onboarding_risk_score,onboarding_risk_level,agent_action,agent_response_time_minutes,agent_guidance_given,agent_correction_count,agent_escalation,real_time_guidance,session_status
SESSION-0015DC72,CUST55966,AGENT129,banking,incomplete_sessions,Customer Information,2026-08-29 13:08:55.155333,completed,4.07,False,,Identity Verification,passed,,20.0,0.15,Low,provided_guidance,1.5,True,0,none,Review the current information and proceed to Identity Verification.,in_progress
SESSION-0015DC72,CUST55966,AGENT129,banking,incomplete_sessions,Identity Verification,2026-08-29 13:12:59.355333,completed,11.59,False,Customer Information,,passed,,40.0,0.15,Low,provided_guidance,0.81,True,0,none,Review the completed information and complete Customer Onboarding.,in_progress
SESSION-004543DE,CUST31181,AGENT116,telecom,long_completion_times,Customer Information,2026-08-29 13:08:55.279394,completed,15.08,False,,Service Selection,passed,,20.0,0.3,Medium,reviewed_information,3.28,True,0,none,Review the current information and proceed to Service Selection.,in_progress
SESSION-004543DE,CUST31181,AGENT116,telecom,long_completion_times,Service Selection,2026-08-29 13:24:00.079394,completed,18.21,False,Customer Information,Document Verification,passed,,40.0,0.3,Medium,provided_guidance,2.53,True,0,none,Review the current information and proceed to Document Verification.,in_progress
SESSION-004543DE,CUST31181,AGENT116,telecom,long_completion_times,Document Verification,2026-08-29 13:42:12.679394,completed,36.91,False,Service Selection,Installation,passed,,60.0,0.2,Low,provided_guidance,3.45,True,0,none,Review the current information and proceed to Installation.,in_progress
SESSION-004543DE,CUST31181,AGENT116,telecom,long_completion_times,Installation,2026-08-29 14:19:07.279394,completed,50.15,False,Document Verification,Activation,passed,,80.0,0.2,Low,reviewed_information,3.14,True,0,none,Review the current information and proceed to Activation.,in_progress
SESSION-006E2B73,CUST44203,AGENT925,banking,normal_completion,Customer Information,2026-08-29 13:08:55.091820,completed,3.79,False,,Identity Verification,passed,,20.0,0.15,Low,entered_information,0.75,False,0,none,,in_progress
SESSION-006E2B73,CUST44203,AGENT925,banking,normal_completion,Identity Verification,2026-08-29 13:12:42.491820,completed,8.22,False,Customer Information,Document Verification,passed,,40.0,0.15,Low,reviewed_information,6.18,False,0,none,,in_progress
SESSION-006E2B73,CUST44203,AGENT925,banking,normal_completion,Document Verification,2026-08-29 13:20:55.691820,completed,8.14,False,Identity Verification,Account Information,passed,,60.0,0.05,Low,completed_step,1.66,False,0,none,,in_progress
SESSION-006E2B73,CUST44203,AGENT925,banking,normal_completion,Account Information,2026-08-29 13:29:04.091820,completed,9.5,False,Document Verification,Onboarding Confirmation,passed,,80.0,0.05,Low,completed_step,0.98,False,0,none,,in_progress
SESSION-006E2B73,CUST44203,AGENT925,banking,normal_completion,Onboarding Confirmation,2026-08-29 13:38:34.091820,completed,8.02,False,Account Information,,passed,,100.0,0.05,Low,entered_information,1.85,False,0,none,,completed
SESSION-009A65D0,CUST83063,AGENT237,telecom,normal_completion,Customer Information,2026-08-29 13:08:55.283353,completed,5.79,False,,Service Selection,passed,,20.0,0.15,Low,entered_information,2.68,False,0,none,,in_progress
SESSION-009A65D0,CUST83063,AGENT237,telecom,normal_completion,Service Selection,2026-08-29 13:14:42.683353,completed,5.1,False,Customer Information,Document Verification,passed,,40.0,0.15,Low,completed_step,1.05,False,0,none,,in_progress
SESSION-009A65D0,CUST83063,AGENT237,telecom,normal_completion,Document Verification,2026-08-29 13:19:48.683353,completed,4.76,False,Service Selection,Installation,passed,,60.0,0.05,Low,entered_information,2.25,False,0,none,,in_progress
SESSION-009A65D0,CUST83063,AGENT237,telecom,normal_completion,Installation,2026-08-29 13:24:34.283353,completed,5.89,False,Document Verification,Activation,passed,,80.0,0.05,Low,provided_guidance,2.99,True,0,none,Review the current information and proceed to Activation.,in_progress
