session_id,customer_id,sales_agent_id,industry,onboarding_scenario,onboarding_stage,onboarding_field,event_name,event_timestamp,event_status,event_duration_minutes,is_revisit,previous_onboarding_field,next_onboarding_field,validation_status,failure_reason,onboarding_progress,onboarding_risk_score,onboarding_risk_level,agent_action,agent_response_time_minutes,agent_guidance_given,agent_correction_count,agent_escalation,real_time_guidance,session_status
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,full_name,entered,2026-08-30T14:43:39.908649,completed,12.33,False,,date_of_birth,passed,,5.26,0.15,Low,provided_guidance,1.02,True,0,none,Review the current information and proceed to date_of_birth.,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,date_of_birth,entered,2026-08-30T14:55:59.708649,completed,8.02,False,full_name,full_name,passed,,10.53,0.15,Low,completed_step,0.94,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,full_name,revisited,2026-08-30T15:04:00.908649,completed,17.22,True,date_of_birth,email_address,passed,,10.53,0.4,Medium,provided_guidance,4.87,True,1,none,Review the current information and proceed to email_address.,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,email_address,entered,2026-08-30T15:21:14.108649,completed,4.22,False,full_name,mobile_phone_number,passed,,15.79,0.25,Low,provided_guidance,3.0,True,0,none,Review the current information and proceed to mobile_phone_number.,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,mobile_phone_number,entered,2026-08-30T15:25:27.308649,completed,17.59,False,email_address,home_address,passed,,21.05,0.4,Medium,completed_step,0.41,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,home_address,entered,2026-08-30T15:43:02.708649,completed,9.97,False,mobile_phone_number,selfie_liveness_check,passed,,26.32,0.25,Low,completed_step,1.95,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,identity_verification,selfie_liveness_check,entered,2026-08-30T15:53:00.908649,completed,10.37,False,home_address,date_of_birth,passed,,31.58,0.25,Low,completed_step,2.26,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,date_of_birth,revisited,2026-08-30T16:03:23.108649,completed,4.02,True,selfie_liveness_check,identification_document_type,passed,,31.58,0.35,Medium,revisited_information,5.93,True,0,none,Review the current information and proceed to identification_document_type.,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,identity_verification,identification_document_type,entered,2026-08-30T16:07:24.308649,completed,13.35,False,date_of_birth,mobile_phone_number,passed,,36.84,0.35,Medium,reviewed_information,4.25,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,customer_information,mobile_phone_number,revisited,2026-08-30T16:20:45.308649,completed,15.58,True,identification_document_type,face_match_verification,passed,,36.84,0.6,Medium,revisited_information,2.11,True,1,none,Review the current information and proceed to face_match_verification.,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,identity_verification,face_match_verification,entered,2026-08-30T16:36:20.108649,completed,14.01,False,mobile_phone_number,identification_document_number,passed,,42.11,0.45,Medium,entered_information,1.1,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,identity_verification,identification_document_number,entered,2026-08-30T16:50:20.708649,completed,10.86,False,face_match_verification,profession,passed,,47.37,0.45,Medium,entered_information,0.56,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,financial_profile,profession,entered,2026-08-30T17:01:12.308649,completed,11.71,False,identification_document_number,income,passed,,52.63,0.35,Medium,completed_step,1.97,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,financial_profile,income,entered,2026-08-30T17:12:54.908649,completed,14.58,False,profession,politically_exposed_person_status,passed,,57.89,0.35,Medium,completed_step,0.29,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,regulatory_declarations,politically_exposed_person_status,entered,2026-08-30T17:27:29.708649,completed,15.81,False,income,us_person_status,passed,,63.16,0.5,Medium,entered_information,1.7,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,regulatory_declarations,us_person_status,entered,2026-08-30T17:43:18.308649,completed,16.86,False,politically_exposed_person_status,selfie_liveness_check,passed,,68.42,0.5,Medium,completed_step,2.87,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,identity_verification,selfie_liveness_check,revisited,2026-08-30T18:00:09.908649,completed,15.58,True,us_person_status,ownership_and_control_information,passed,,68.42,0.6,Medium,revisited_information,6.46,True,0,none,Review the current information and proceed to ownership_and_control_information.,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,account_setup,ownership_and_control_information,entered,2026-08-30T18:15:44.708649,completed,11.28,False,selfie_liveness_check,beneficial_owner_information,passed,,73.68,0.45,Medium,completed_step,1.19,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,account_setup,beneficial_owner_information,entered,2026-08-30T18:27:01.508649,completed,11.42,False,ownership_and_control_information,terms_and_conditions_acceptance,passed,,78.95,0.45,Medium,provided_guidance,4.88,True,0,none,Review the current information and proceed to terms_and_conditions_acceptance.,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,account_setup,terms_and_conditions_acceptance,entered,2026-08-30T18:38:26.708649,completed,11.59,False,beneficial_owner_information,business_relationship_purpose,passed,,84.21,0.45,Medium,completed_step,2.21,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,account_setup,business_relationship_purpose,entered,2026-08-30T18:50:02.108649,completed,16.51,False,terms_and_conditions_acceptance,business_relationship_nature,passed,,89.47,0.6,Medium,reviewed_information,7.61,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,account_setup,business_relationship_nature,entered,2026-08-30T19:06:32.708649,completed,10.9,False,business_relationship_purpose,commercial_address,passed,,94.74,0.45,Medium,completed_step,0.74,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,account_setup,commercial_address,entered,2026-08-30T19:17:26.708649,completed,8.37,False,business_relationship_nature,selfie_liveness_check,passed,,100.0,0.45,Medium,completed_step,1.12,False,0,none,,in_progress
SESSION-F7E87CE8,CUST85046,AGENT327,banking,revisited_fields,identity_verification,selfie_liveness_check,revisited,2026-08-30T19:25:48.908649,completed,10.29,True,commercial_address,,passed,,100.0,0.55,Medium,revisited_information,4.28,True,0,none,Review the completed information and complete Customer Onboarding.,completed
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,customer_information,date_of_birth,entered,2026-08-30T14:43:39.909271,completed,4.56,False,,home_address,passed,,6.67,0.15,Low,completed_step,1.35,False,0,none,,in_progress
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,customer_information,home_address,entered,2026-08-30T14:48:13.509271,completed,4.62,False,date_of_birth,full_name,passed,,13.33,0.15,Low,completed_step,1.99,False,0,none,,in_progress
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,customer_information,full_name,entered,2026-08-30T14:52:50.709271,completed,5.17,False,home_address,mobile_phone_number,passed,,20.0,0.15,Low,completed_step,2.93,False,0,none,,in_progress
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,customer_information,mobile_phone_number,entered,2026-08-30T14:58:00.909271,completed,1.23,False,full_name,email_address,passed,,26.67,0.15,Low,completed_step,0.35,False,0,none,,in_progress
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,customer_information,email_address,entered,2026-08-30T14:59:14.709271,completed,3.19,False,mobile_phone_number,identification_document_number,passed,,33.33,0.15,Low,completed_step,0.26,False,0,none,,in_progress
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,identity_verification,identification_document_number,entered,2026-08-30T15:02:26.109271,completed,10.23,False,email_address,selfie_liveness_check,passed,,40.0,0.15,Low,provided_guidance,3.25,True,0,none,Review the current information and proceed to selfie_liveness_check.,in_progress
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,identity_verification,selfie_liveness_check,entered,2026-08-30T15:12:39.909271,completed,1.09,False,identification_document_number,face_match_verification,passed,,46.67,0.15,Low,completed_step,0.69,False,0,none,,in_progress
SESSION-B2ABA482,CUST93071,AGENT562,banking,normal_completion,identity_verification,face_match_verification,entered,2026-08-30T15:13:45.309271,completed,1.47,False,selfie_liveness_check,identification_document_type,passed,,53.33,0.05,Low,completed_step,2.26,False,0,none,,in_progress
